lat,lon,zipcode
45.51,-122.68,97201
45.52,-122.69,97201
45.51,-122.68,97201
45.51,-122.69,97201
45.51,-122.68,97201
46.19,-123.81,97146
45.99,-123.92,97146
46.16,-123.9,97146
46.16,-123.9,97146
45.37,-122.84,97140
45.37,-122.84,97140
45.35,-122.85,97140
45.37,-122.84,97140
45.3,-122.95,97132
45.31,-122.94,97132
45.2,-123.21,97128
45.2,-123.2,97128
45.23,-123.17,97127
45.55,-122.9,97124
45.53,-122.94,97124
45.55,-122.9,97124
45.56,-122.87,97124
45.52,-123.11,97116
45.52,-123.05,97113
45.52,-123.04,97113
45.52,-123.1,97113
45.52,-122.99,97113
45.5,-122.96,97113
45.53,-122.96,97113
45.52,-122.97,97113
45.47,-123.85,97107
45.46,-123.85,97107
45.42,-122.46,97089
45.43,-122.54,97086
45.43,-122.54,97086
45.43,-122.51,97086
45.43,-122.49,97086
45.48,-122.83,97078
45.16,-122.88,97071
45.15,-122.83,97071
45.15,-122.83,97071
45.15,-122.88,97071
45.3,-122.77,97070
45.3,-122.77,97070
45.3,-122.77,97070
45.36,-122.65,97068
45.36,-122.65,97068
45.38,-122.76,97062
45.38,-122.75,97062
45.34,-122.77,97062
45.58,-122.33,97060
45.6,-121.19,97058
45.61,-121.2,97058
45.61,-121.2,97058
45.4,-122.28,97055
45.4,-122.29,97055
45.4,-122.28,97055
45.34,-122.57,97045
45.32,-122.58,97045
45.33,-122.58,97045
45.15,-122.6,97042
45.41,-122.72,97035
45.4,-122.74,97035
45.41,-122.72,97035
45.41,-122.72,97035
45.42,-122.74,97035
45.42,-122.74,97035
45.4,-122.74,97035
45.41,-122.75,97035
45.39,-122.75,97035
45.42,-122.67,97034
45.41,-122.68,97034
45.42,-122.66,97034
45.5,-122.41,97030
45.51,-122.42,97030
45.5,-122.44,97030
45.5,-122.41,97030
45.5,-122.41,97030
45.52,-122.4,97030
45.52,-122.4,97030
45.38,-122.58,97027
45.37,-122.6,97027
45.37,-122.61,97027
45.53,-122.44,97024
45.53,-122.41,97024
45.53,-122.43,97024
45.53,-122.43,97024
45.58,-122.38,97024
45.85,-122.83,97018
45.85,-122.83,97018
45.91,-122.75,97018
45.91,-122.75,97018
45.43,-122.57,97015
45.43,-122.56,97015
45.27,-122.68,97013
45.27,-122.68,97013
45.26,-122.7,97013
45.44,-122.83,97008
45.46,-122.79,97008
45.44,-122.83,97008
45.44,-122.81,97008
45.43,-122.82,97008
45.44,-122.78,97008
45.45,-122.78,97008
45.45,-122.78,97008
45.45,-122.78,97008
45.48,-122.86,97006
45.54,-122.87,97006
45.54,-122.87,97006
45.52,-122.84,97006
45.54,-122.87,97006
45.54,-122.9,97006
45.53,-122.88,97006
45.53,-122.92,97006
45.5,-122.91,97006
45.5,-122.91,97006
45.49,-122.8,97005
45.5,-122.81,97005
45.49,-122.8,97005
45.49,-122.79,97005
45.49,-122.8,97005
