,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,lat,lon,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_STATUS,PROPERTY_DATE_PLANNED,PROPERTY_DATE_UNDERCONSTRUCTION,PROPERTY_DATE_RENTUP,PROPERTY_DATECOMPLETED,PROPERTY_MIXEDUSE,PROPERTY_MIXEDUSE_NOTES,PROPERTY_STUDENTHOUSING,PROPERTY_AFFORDABLEHOUSING,PROPERTY_MILITARYHOUSING,PROPERTY_AGERESTRICTED,PROPERTY_FRACTUREDCONDO,PROPERTY_ADAPTIVEREUSE,PROPERTY_SINGLEFAMILYRENTAL,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_MATRIX_URL,block,tract
3438,117_154,117,Baton Rouge,5.0,Highlands-Perkins,East Baton Rouge Parish,"Villas on Brightside, The",,1645 Brightside Drive,Baton Rouge,LA,70820,30.386496,-91.176973,2257672434.0,148,131600.0,6.7885,C+,C+,Completed,,,,1983-01-01 00:00:00,0.0,,N,N,N,N,,,,66.9,853.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=154,220330040243003,22033004024
3439,117_158,117,Baton Rouge,2.0,Mid City North,East Baton Rouge Parish,Alexander - Harvey Homes,,5222 Hollywood Street,Baton Rouge,LA,70805,30.4995824,-91.1384567,2253578685.0,200,134500.0,18.72,C,C,Completed,,,,1980-01-01 00:00:00,0.0,,N,A,N,A,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=158,220330002003001,22033000200
3440,117_171,117,Baton Rouge,11.0,Shenandoah,East Baton Rouge Parish,Spring Brook,,15580 George Oneal Road,Baton Rouge,LA,70817,30.4053595,-91.0127807,2257523606.0,200,197456.0,10.16,B+,B+,Completed,,,,2001-01-01 00:00:00,0.0,,N,N,N,N,,,,98.0,1092.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=171,220330045073002,22033004507
3441,117_174,117,Baton Rouge,3.0,Mid City South,East Baton Rouge Parish,Jefferson Shadows,,9771 Jefferson Hwy,Baton Rouge,LA,70809,30.4124068,-91.0753396,2252934094.0,187,202350.0,9.4,C+,B-,Completed,,,,1975-01-01 00:00:00,0.0,,N,N,N,N,,,,94.7,949.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=174,220330038081002,22033003808
3442,117_182,117,Baton Rouge,5.0,Highlands-Perkins,East Baton Rouge Parish,Campus Crossings on Highland,,3235 Highland Road,Baton Rouge,LA,70802,30.4195948,-91.1769202,2253870190.0,164,127775.0,6.53,B,B,Completed,,,,2005-01-01 00:00:00,0.0,,A,N,N,N,,,,,1369.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=182,220330025001000,22033002500
3443,117_194,117,Baton Rouge,3.0,Mid City South,East Baton Rouge Parish,"Warwick, The",,8001 Jefferson Hwy,Baton Rouge,LA,70809,30.4256601,-91.1055677,2259241421.0,189,167810.0,6.79,C+,B+,Completed,,,,1971-01-01 00:00:00,0.0,,N,N,N,N,,,,98.4,1120.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=194,220330038093002,22033003809
3444,117_207,117,Baton Rouge,3.0,Mid City South,East Baton Rouge Parish,Cypress Park,,10318 Celtic Drive,Baton Rouge,LA,70809,30.4150865,-91.075167,2252939891.0,168,161931.0,8.35,C+,C+,Completed,,,,1972-01-01 00:00:00,0.0,,N,N,N,N,,,,95.2,1176.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=207,220330038082007,22033003808
3445,117_22,117,Baton Rouge,8.0,Merrydale,East Baton Rouge Parish,Hooper Pointe,,4888 Hooper Road,Baton Rouge,LA,70811,30.5208086,-91.1403111,2253570116.0,176,163520.0,13.45,B-,C+,Completed,,,,2008-01-01 00:00:00,0.0,,N,A,N,N,,,,,,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=22,220330034002013,22033003400
3446,117_27,117,Baton Rouge,5.0,Highlands-Perkins,East Baton Rouge Parish,"Arts at Bluebonnet Place, The",,9989 Burbank Drive,Baton Rouge,LA,70810,30.3590383,-91.1142625,2257699989.0,184,192712.0,15.17,B-,B-,Completed,,,,1984-01-01 00:00:00,0.0,,N,N,N,N,,,,96.2,1196.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=27,220330040282002,22033004028
3447,117_286,117,Baton Rouge,9.0,Park Forest-La North,East Baton Rouge Parish,Bellemont Victoria II,,12254 La Margie Avenue,Baton Rouge,LA,70815,30.469694,-91.0465862,2252755521.0,198,195098.0,8.76,C,C,Completed,,,,1976-01-01 00:00:00,0.0,,N,N,N,N,,,,97.5,783.0,matrix.pi-ei.com/PropertyDetail/All?MarketID=117&PropertyID=286,220330036042002,22033003604
