,state,county,tract,region,ALAND
504,06,013,06013330000,California,2161034.0
505,06,013,06013331000,California,2816745.0
506,06,013,06013332000,California,3001254.0
507,06,013,06013333101,California,1912517.0
508,06,013,06013333102,California,1950506.0
509,06,013,06013333200,California,2377435.0
510,06,013,06013334001,California,1303940.0
511,06,013,06013334004,California,10803027.8125
512,06,013,06013334006,California,1685118.0
513,06,013,06013334200,California,6788232.0
514,06,013,06013335000,California,1797536.0
515,06,013,06013336101,California,676674.0
516,06,013,06013336102,California,10803027.8125
517,06,013,06013336201,California,1240588.0
518,06,013,06013336202,California,687628.0
519,06,013,06013337100,California,2787264.0
520,06,013,06013337200,California,10803027.8125
521,06,013,06013337300,California,4373704.0
522,06,013,06013338101,California,1128292.0
523,06,013,06013338102,California,1562768.0
524,06,013,06013338201,California,3687157.0
525,06,013,06013338203,California,1577045.0
526,06,013,06013338204,California,2649159.0
527,06,013,06013338301,California,1964961.0
528,06,013,06013338302,California,6912890.0
529,06,013,06013339001,California,1131291.0
530,06,013,06013339002,California,10803027.8125
531,06,013,06013340001,California,2713062.0
532,06,013,06013340002,California,10803027.8125
533,06,013,06013341000,California,4036492.0
534,06,013,06013343001,California,2611930.0
535,06,013,06013343002,California,3368559.0
536,06,013,06013343003,California,5438269.0
537,06,013,06013345101,California,2160433.0
538,06,013,06013345102,California,1766196.0
539,06,013,06013345103,California,3249665.0
540,06,013,06013345105,California,3673802.0
541,06,013,06013345108,California,10803027.8125
542,06,013,06013345111,California,2313872.0
543,06,013,06013345112,California,8496397.0
544,06,013,06013345113,California,5433439.0
545,06,013,06013345114,California,5681638.0
546,06,013,06013345115,California,15699092.0
547,06,013,06013345116,California,1274878.0
548,06,013,06013345202,California,10803027.8125
549,06,013,06013345203,California,26933241.0
550,06,013,06013345204,California,14656887.0
551,06,013,06013346101,California,9007744.0
552,06,013,06013346102,California,20268412.0
553,06,013,06013346201,California,10803027.8125
554,06,013,06013346203,California,2857319.0
555,06,013,06013346204,California,13031487.0
556,06,013,06013347000,California,25371845.0
557,06,013,06013348000,California,10912146.0
558,06,013,06013349000,California,3532773.0
559,06,013,06013350000,California,8578840.0
560,06,013,06013351101,California,2419322.0
561,06,013,06013351102,California,10803027.8125
562,06,013,06013351103,California,3013902.0
563,06,013,06013351200,California,9054683.0
564,06,013,06013352101,California,11805811.0
565,06,013,06013352102,California,22596611.0
566,06,013,06013352201,California,6926359.0
567,06,013,06013352202,California,13722947.0
568,06,013,06013353001,California,13697858.0
569,06,013,06013353002,California,5090860.0
570,06,013,06013354001,California,13709373.0
571,06,013,06013354002,California,14559357.0
572,06,013,06013355107,California,82054530.0
573,06,013,06013355108,California,10803027.8125
574,06,013,06013355109,California,2982058.0
575,06,013,06013355110,California,1791528.0
576,06,013,06013355111,California,2431710.0
577,06,013,06013355112,California,253950359.0
578,06,013,06013355113,California,5326315.0
579,06,013,06013355114,California,10803027.8125
580,06,013,06013355115,California,2205696.0
581,06,013,06013355116,California,10803027.8125
582,06,013,06013355117,California,10803027.8125
583,06,013,06013355200,California,10803027.8125
584,06,013,06013355301,California,10803027.8125
585,06,013,06013355302,California,7517809.0
586,06,013,06013355304,California,10803027.8125
587,06,013,06013355306,California,67327450.0
588,06,013,06013356001,California,15768459.0
589,06,013,06013356002,California,106020816.0
590,06,013,06013357000,California,11165471.0
591,06,013,06013358000,California,6891861.0
592,06,013,06013359102,California,2059638.0
593,06,013,06013359103,California,2535285.0
594,06,013,06013359104,California,623380.0
595,06,013,06013359105,California,1788234.0
596,06,013,06013359202,California,9690725.0
597,06,013,06013359203,California,3706994.0
598,06,013,06013359204,California,3417079.0
599,06,013,06013360101,California,3924515.0
600,06,013,06013360102,California,6229696.0
601,06,013,06013360200,California,2254311.0
602,06,013,06013361000,California,15994039.0
603,06,013,06013362000,California,1313232.0
604,06,013,06013363000,California,4400587.0
605,06,013,06013364002,California,2113413.0
606,06,013,06013365002,California,5813967.0
607,06,013,06013365003,California,2532659.0
608,06,013,06013366001,California,1001620.0
609,06,013,06013366002,California,1036483.0
610,06,013,06013367100,California,1740742.0
611,06,013,06013367200,California,1322255.0
612,06,013,06013368001,California,768595.0
613,06,013,06013368002,California,657215.0
614,06,013,06013369001,California,1617204.0
615,06,013,06013369002,California,1509352.0
616,06,013,06013370000,California,995800.0
617,06,013,06013371000,California,1316780.0
618,06,013,06013372000,California,1558791.0
619,06,013,06013373000,California,827435.0
620,06,013,06013374000,California,992096.0
621,06,013,06013375000,California,655839.0
622,06,013,06013376000,California,1200143.0
623,06,013,06013377000,California,1245112.0
624,06,013,06013378000,California,16960129.0
625,06,013,06013379000,California,1684618.0
626,06,013,06013380000,California,10803027.8125
627,06,013,06013381000,California,1963088.0
628,06,013,06013382000,California,1978212.0
629,06,013,06013383000,California,1341211.0
630,06,013,06013384000,California,1617970.0
631,06,013,06013385100,California,2390590.0
632,06,013,06013385200,California,638550.0
633,06,013,06013386000,California,987482.0
634,06,013,06013387000,California,801387.0
635,06,013,06013388000,California,658328.0
636,06,013,06013389100,California,686208.0
637,06,013,06013389200,California,253610.0
638,06,013,06013390100,California,1009445.0
639,06,013,06013390200,California,627505.0
640,06,013,06013391000,California,1411582.0
641,06,013,06013392000,California,1028096.0
642,06,013,06013392200,California,10803027.8125
643,06,013,06013392300,California,2028922.0
644,06,013,06013990000,California,0.0
645,06,015,06015000101,California,2652933.0
646,06,015,06015000102,California,22417260.0
647,06,015,06015000104,California,2031005.0
648,06,015,06015000105,California,34627476.0
649,06,015,06015000201,California,91998710.0
650,06,015,06015000202,California,2083657688.0
651,06,015,06015000203,California,368732963.0
652,06,015,06015990000,California,0.0
653,06,017,06017030200,California,169654755.8
654,06,017,06017030301,California,1183498.0
655,06,017,06017030302,California,3241413.0
656,06,017,06017030401,California,169654755.8
657,06,017,06017030402,California,10995165.0
658,06,017,06017030502,California,17251160.0
659,06,017,06017030504,California,29776827.0
660,06,017,06017030505,California,169654755.8
661,06,017,06017030601,California,164681141.0
662,06,017,06017030602,California,169654755.8
663,06,017,06017030603,California,1219176045.0
664,06,017,06017030701,California,13428718.0
665,06,017,06017030704,California,169654755.8
666,06,017,06017030706,California,7670302.0
667,06,017,06017030709,California,13428760.0
668,06,017,06017030710,California,7881014.0
669,06,017,06017030801,California,62511788.0
670,06,017,06017030803,California,169654755.8
671,06,017,06017030804,California,68787024.0
672,06,017,06017030807,California,4812642.0
673,06,017,06017030808,California,5802114.0
674,06,017,06017030809,California,2206530.0
675,06,017,06017030810,California,2541866.0
676,06,017,06017030901,California,64933951.0
677,06,017,06017030902,California,50583476.0
678,06,017,06017031000,California,26949795.0
679,06,017,06017031100,California,36774632.0
680,06,017,06017031200,California,20868323.0
681,06,017,06017031301,California,46656591.0
682,06,017,06017031302,California,33161341.0
683,06,017,06017031402,California,169654755.8
684,06,017,06017031404,California,41122672.0
685,06,017,06017031405,California,28275410.0
686,06,017,06017031406,California,77502327.0
687,06,017,06017031502,California,169654755.8
688,06,017,06017031503,California,99356383.0
689,06,017,06017031504,California,59179158.0
690,06,017,06017031600,California,169654755.8
691,06,017,06017031700,California,4379997.0
692,06,017,06017031800,California,7974872.0
693,06,017,06017031900,California,493669529.0
694,06,017,06017032000,California,169654755.8
695,06,017,06017990000,California,0.0
696,06,019,06019000100,California,843445.0
697,06,019,06019000200,California,1988144.0
698,06,019,06019000300,California,1887566.0
699,06,019,06019000400,California,3403398.0
700,06,019,06019000501,California,674649.0
701,06,019,06019000502,California,1181124.0
702,06,019,06019000600,California,336240343.0967742
703,06,019,06019000700,California,336240343.0967742
704,06,019,06019000800,California,336240343.0967742
705,06,019,06019000901,California,1954599.0
706,06,019,06019000902,California,1970502.0
707,06,019,06019001000,California,4894970.0
708,06,019,06019001100,California,3751354.0
709,06,019,06019001201,California,5741365.0
710,06,019,06019001202,California,3401940.0
711,06,019,06019001301,California,1959392.0
712,06,019,06019001303,California,643426.0
713,06,019,06019001304,California,1307803.0
714,06,019,06019001407,California,1292432.0
715,06,019,06019001408,California,1218708.0
716,06,019,06019001409,California,2487994.0
717,06,019,06019001410,California,336240343.0967742
718,06,019,06019001411,California,2509992.0
719,06,019,06019001412,California,4800283.0
720,06,019,06019001413,California,10408157.0
721,06,019,06019001414,California,336240343.0967742
722,06,019,06019001500,California,38156230.0
723,06,019,06019001600,California,51215832.0
724,06,019,06019001700,California,73391736.0
725,06,019,06019001800,California,57100700.0
726,06,019,06019001900,California,336240343.0967742
727,06,019,06019002000,California,5502793.0
728,06,019,06019002100,California,1826004.0
729,06,019,06019002200,California,1322709.0
730,06,019,06019002300,California,1496252.0
731,06,019,06019002400,California,2446457.0
732,06,019,06019002501,California,1308396.0
733,06,019,06019002502,California,1294084.0
734,06,019,06019002601,California,1307496.0
735,06,019,06019002602,California,1303901.0
736,06,019,06019002701,California,1300766.0
